fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.0,1.0,0.45,0.0,1
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.0,1.0,0.49,1.0,1
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.0,1.0,0.44,1.0,1
7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.0,1.0,0.4,1.0,1
7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.0,1.0,0.4,1.0,1
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.0,1.0,0.44,1.0,1
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.0,1.0,0.47,1.0,1
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.0,1.0,0.45,0.0,1
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.0,1.0,0.49,1.0,1
8.1,0.22,0.43,1.5,0.044000000000000004,28.0,129.0,0.0,1.0,0.45,1.0,1
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.0,0.0,0.56,1.0,0
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.0,1.0,0.53,1.0,0
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.0,1.0,0.63,1.0,0
6.6,0.16,0.4,1.5,0.044000000000000004,48.0,143.0,0.0,1.0,0.52,1.0,1
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0,0.0,0.67,1.0,0
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.0,1.0,0.55,1.0,1
6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.0,1.0,0.36,1.0,1
6.2,0.66,0.48,1.2,0.028999999999999998,29.0,75.0,0.0,1.0,0.39,1.0,1
7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.0,1.0,0.53,1.0,1
6.5,0.31,0.14,7.5,0.044000000000000004,34.0,133.0,0.0,1.0,0.5,1.0,0
6.2,0.66,0.48,1.2,0.028999999999999998,29.0,75.0,0.0,1.0,0.39,1.0,1
6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.0,1.0,0.35,1.0,1
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.0,1.0,0.48,1.0,1
7.6,0.67,0.14,1.5,0.07400000000000001,25.0,168.0,0.0,1.0,0.51,1.0,0
6.6,0.27,0.41,1.3,0.052000000000000005,16.0,142.0,0.0,1.0,0.47,1.0,1
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.0,1.0,0.5,1.0,1
6.9,0.24,0.35,1.0,0.052000000000000005,35.0,146.0,0.0,1.0,0.44,1.0,1
7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.0,1.0,0.53,1.0,1
7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.0,1.0,0.49,1.0,1
7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.0,1.0,0.71,1.0,1
8.5,0.24,0.39,10.4,0.044000000000000004,20.0,142.0,0.0,1.0,0.53,1.0,1
8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.0,1.0,0.4,1.0,1
7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.0,1.0,0.44,1.0,1
6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.0,1.0,0.51,1.0,1
5.8,0.27,0.2,14.95,0.044000000000000004,22.0,179.0,0.0,1.0,0.37,1.0,0
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.0,1.0,0.42,1.0,0
6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.0,1.0,0.35,1.0,0
7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.0,1.0,0.28,1.0,1
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.0,1.0,0.36,0.0,0
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.0,1.0,0.36,0.0,0
6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.0,1.0,0.36,1.0,1
6.7,0.24,0.39,2.9,0.17300000000000001,63.0,157.0,0.0,1.0,0.34,1.0,1
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.0,1.0,0.46,1.0,1
6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.0,1.0,0.56,1.0,1
6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.0,1.0,0.56,1.0,1
7.4,0.18,0.31,1.4,0.057999999999999996,38.0,167.0,0.0,1.0,0.53,1.0,1
6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.0,1.0,0.52,1.0,0
6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.0,1.0,0.52,1.0,0
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.0,1.0,0.46,1.0,1
6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.0,1.0,0.48,1.0,0
7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.0,1.0,0.44,1.0,1
6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.0,1.0,0.58,1.0,1
6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.0,1.0,0.46,1.0,1
6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.0,1.0,0.35,1.0,1
6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.0,1.0,0.38,1.0,1
6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.0,1.0,0.52,1.0,1
7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.0,1.0,0.5,1.0,1
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.0,1.0,0.36,0.0,1
